Airline,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Month_of_Journey,Day_of_Journey,Duration_min
Jet Airways,Delhi,Cochin,2,12,1.0,No Info,18371,June,Wednesday,620
Jet Airways,Kolkata,Banglore,20,9,1.0,No Info,12692,June,Thursday,80
IndiGo,Banglore,Delhi,6,8,0.0,No Info,4423,April,Wednesday,165
Jet Airways,Banglore,Delhi,19,22,0.0,In-flight meal not included,7229,June,Sunday,180
IndiGo,Banglore,New Delhi,23,2,0.0,No Info,6144,March,Sunday,170
Jet Airways,Delhi,Cochin,6,4,2.0,In-flight meal not included,10919,June,Saturday,580
IndiGo,Kolkata,Banglore,21,0,0.0,No Info,4148,March,Wednesday,160
SpiceJet,Banglore,New Delhi,20,23,0.0,In-flight meal not included,3873,March,Sunday,170
Jet Airways,Delhi,Cochin,9,18,2.0,No Info,11702,March,Thursday,550
IndiGo,Delhi,Cochin,17,1,1.0,No Info,14871,March,Wednesday,505
Air India,Banglore,New Delhi,6,11,2.0,No Info,11234,March,Monday,985
IndiGo,Delhi,Cochin,14,22,1.0,No Info,6938,June,Thursday,490
IndiGo,Delhi,Cochin,8,21,1.0,No Info,6093,June,Wednesday,750
IndiGo,Banglore,Delhi,10,13,0.0,No Info,3943,May,Wednesday,170
Jet Airways,Delhi,Cochin,23,12,2.0,No Info,15129,May,Thursday,90
SpiceJet,Chennai,Kolkata,17,20,0.0,No Info,3597,May,Thursday,140
Vistara,Kolkata,Banglore,7,18,1.0,No Info,8610,May,Monday,700
Jet Airways,Kolkata,Banglore,17,23,1.0,No Info,13067,May,Wednesday,395
SpiceJet,Banglore,Delhi,9,12,0.0,No Info,4991,May,Thursday,170
SpiceJet,Chennai,Kolkata,8,10,0.0,No Info,3597,May,Saturday,135
Jet Airways,Delhi,Cochin,8,19,1.0,In-flight meal not included,12898,May,Tuesday,660
Jet Airways,Delhi,Cochin,6,19,2.0,In-flight meal not included,9296,March,Wednesday,335
IndiGo,Banglore,New Delhi,16,19,0.0,No Info,8855,March,Sunday,170
IndiGo,Banglore,Delhi,6,8,0.0,No Info,3943,June,Monday,165
Multiple carriers,Delhi,Cochin,12,19,1.0,No Info,9001,June,Monday,385
Multiple carriers,Delhi,Cochin,10,1,1.0,No Info,7670,May,Saturday,190
Multiple carriers,Delhi,Cochin,17,1,1.0,No Info,7530,June,Monday,465
IndiGo,Kolkata,Banglore,9,14,1.0,No Info,8443,May,Wednesday,295
SpiceJet,Delhi,Cochin,6,11,1.0,No Info,5351,April,Monday,315
Vistara,Delhi,Cochin,6,9,0.0,No Info,6688,March,Thursday,190
Jet Airways,Banglore,New Delhi,20,19,1.0,In-flight meal not included,11087,March,Tuesday,635
Air India,Banglore,New Delhi,5,12,2.0,No Info,7664,March,Friday,1095
IndiGo,Kolkata,Banglore,15,20,1.0,No Info,4775,April,Monday,315
GoAir,Kolkata,Banglore,15,17,0.0,No Info,3514,June,Thursday,155
Jet Airways,Delhi,Cochin,6,4,2.0,No Info,13376,June,Monday,580
Jet Airways,Delhi,Cochin,8,12,2.0,No Info,14300,June,Wednesday,985
Air India,Delhi,Cochin,20,9,1.0,No Info,7480,June,Thursday,765
IndiGo,Mumbai,Hyderabad,21,22,0.0,No Info,2227,May,Sunday,90
Air Asia,Delhi,Cochin,7,22,1.0,No Info,7452,May,Saturday,150
Air Asia,Kolkata,Banglore,10,12,0.0,No Info,4409,May,Friday,155
Air India,Kolkata,Banglore,9,11,2.0,No Info,4647,April,Wednesday,835
SpiceJet,Chennai,Kolkata,9,12,0.0,In-flight meal not included,3332,March,Thursday,155
Air India,Delhi,Cochin,10,19,1.0,No Info,6902,March,Wednesday,555
Air Asia,Kolkata,Banglore,19,23,1.0,No Info,6857,June,Thursday,215
Jet Airways,Delhi,Cochin,19,4,1.0,In-flight meal not included,12373,May,Thursday,550
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,11789,June,Saturday,440
Air India,Delhi,Cochin,17,7,2.0,No Info,13039,May,Thursday,145
Jet Airways,Banglore,New Delhi,22,11,1.0,In-flight meal not included,11087,March,Tuesday,750
Vistara,Kolkata,Banglore,20,23,1.0,No Info,9345,May,Saturday,905
SpiceJet,Mumbai,Hyderabad,22,0,0.0,In-flight meal not included,1965,June,Monday,90
IndiGo,Delhi,Cochin,7,21,1.0,No Info,6093,June,Monday,90
Jet Airways,Kolkata,Banglore,18,8,1.0,In-flight meal not included,11841,June,Sunday,80
Jet Airways,Kolkata,Banglore,21,10,1.0,In-flight meal not included,9663,May,Thursday,775
Jet Airways,Delhi,Cochin,19,19,1.0,No Info,14714,June,Thursday,705
Jet Airways,Kolkata,Banglore,18,22,1.0,In-flight meal not included,8529,June,Wednesday,940
IndiGo,Delhi,Cochin,7,12,1.0,No Info,5073,April,Saturday,275
Jet Airways,Banglore,Delhi,7,10,0.0,No Info,7229,April,Wednesday,180
Air India,Delhi,Cochin,10,19,1.0,No Info,9194,June,Thursday,555
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,11789,June,Wednesday,440
SpiceJet,Mumbai,Hyderabad,13,14,0.0,No Info,2017,June,Wednesday,90
Air India,Kolkata,Banglore,14,12,2.0,No Info,15894,June,Thursday,600
IndiGo,Banglore,Delhi,1,4,0.0,No Info,3419,May,Thursday,165
Jet Airways,Delhi,Cochin,5,4,2.0,In-flight meal not included,10368,June,Sunday,655
IndiGo,Delhi,Cochin,15,20,1.0,No Info,6027,April,Wednesday,290
Air India,Delhi,Cochin,20,9,1.0,No Info,7480,May,Saturday,765
SpiceJet,Kolkata,Banglore,8,17,1.0,No Info,7189,June,Wednesday,520
Air India,Banglore,New Delhi,10,12,0.0,No Info,7276,March,Friday,165
Jet Airways,Delhi,Cochin,11,4,1.0,No Info,15764,March,Wednesday,295
Jet Airways,Delhi,Cochin,19,4,1.0,No Info,14714,June,Thursday,550
Multiple carriers,Delhi,Cochin,17,1,1.0,No Info,7888,May,Tuesday,510
Jet Airways,Delhi,Cochin,8,4,1.0,In-flight meal not included,10262,June,Thursday,505
Jet Airways,Delhi,Cochin,20,4,2.0,In-flight meal not included,15318,May,Saturday,505
Jet Airways,Kolkata,Banglore,10,17,1.0,In-flight meal not included,5608,May,Wednesday,435
Jet Airways,Kolkata,Banglore,8,18,1.0,No Info,12681,April,Monday,590
Air India,Delhi,Cochin,17,9,2.0,No Info,9417,March,Wednesday,250
Multiple carriers,Delhi,Cochin,7,21,1.0,No Info,17057,March,Sunday,115
Multiple carriers,Delhi,Cochin,13,21,1.0,No Info,12537,March,Wednesday,480
Air India,Delhi,Cochin,22,19,2.0,No Info,10651,May,Monday,555
Vistara,Delhi,Cochin,6,9,0.0,No Info,6741,June,Saturday,190
Jet Airways,Kolkata,Banglore,20,22,1.0,In-flight meal not included,10844,May,Friday,875
Air India,Delhi,Cochin,14,19,2.0,No Info,13381,May,Monday,1010
IndiGo,Banglore,Delhi,6,8,0.0,No Info,4423,April,Saturday,165
Jet Airways,Mumbai,Hyderabad,19,21,0.0,No Info,5678,May,Monday,90
Jet Airways,Delhi,Cochin,9,12,2.0,In-flight meal not included,12719,May,Tuesday,900
IndiGo,Delhi,Cochin,7,12,1.0,No Info,5054,June,Saturday,275
Air India,Delhi,Cochin,9,9,1.0,No Info,7480,May,Friday,700
Air India,Banglore,Delhi,17,19,0.0,No Info,6961,June,Monday,165
IndiGo,Banglore,Delhi,21,0,0.0,No Info,3943,June,Monday,180
Jet Airways,Banglore,Delhi,8,11,0.0,No Info,7229,May,Friday,180
SpiceJet,Banglore,Delhi,9,12,0.0,In-flight meal not included,4319,May,Wednesday,170
IndiGo,Banglore,Delhi,13,15,0.0,No Info,4423,April,Wednesday,170
Jet Airways,Delhi,Cochin,22,4,1.0,No Info,16079,May,Tuesday,335
Jet Airways,Banglore,Delhi,19,22,0.0,In-flight meal not included,7754,June,Friday,180
Air India,Delhi,Cochin,13,9,2.0,No Info,10467,June,Saturday,490
Jet Airways,Delhi,Cochin,17,12,1.0,No Info,14714,June,Monday,425
Air India,Kolkata,Banglore,16,21,1.0,No Info,7452,May,Wednesday,980
Air India,Delhi,Cochin,13,19,2.0,No Info,13276,May,Tuesday,1075
Air India,Banglore,New Delhi,8,10,2.0,No Info,8450,March,Friday,825
Jet Airways,Banglore,Delhi,15,18,0.0,In-flight meal not included,7229,June,Saturday,175
Multiple carriers,Delhi,Cochin,10,19,1.0,No Info,8266,May,Wednesday,535
Jet Airways,Delhi,Cochin,9,4,2.0,No Info,13882,June,Monday,420
IndiGo,Banglore,Delhi,20,22,0.0,No Info,4823,May,Monday,170
Air Asia,Banglore,Delhi,23,2,0.0,No Info,4483,May,Friday,170
Air India,Banglore,Delhi,6,8,0.0,No Info,6961,June,Wednesday,165
Jet Airways,Kolkata,Banglore,18,10,1.0,In-flight meal not included,9663,May,Sunday,190
Jet Airways,Delhi,Cochin,23,4,2.0,No Info,16704,May,Saturday,1040
IndiGo,Mumbai,Hyderabad,9,10,0.0,No Info,4049,May,Sunday,90
SpiceJet,Chennai,Kolkata,8,10,0.0,In-flight meal not included,3807,March,Sunday,135
IndiGo,Delhi,Cochin,6,22,1.0,No Info,6442,June,Sunday,220
Jet Airways,Banglore,New Delhi,7,7,1.0,In-flight meal not included,7832,March,Friday,760
IndiGo,Delhi,Cochin,8,22,1.0,No Info,6442,June,Monday,115
IndiGo,Banglore,Delhi,20,22,0.0,No Info,4823,April,Sunday,170
Jet Airways,Banglore,New Delhi,5,5,1.0,No Info,13555,March,Wednesday,680
GoAir,Delhi,Cochin,10,19,1.0,No Info,5135,April,Saturday,540
Air Asia,Banglore,Delhi,23,2,0.0,No Info,3383,May,Wednesday,170
GoAir,Delhi,Cochin,7,13,1.0,No Info,5842,June,Saturday,370
Jet Airways,Delhi,Cochin,13,4,2.0,No Info,16704,May,Saturday,180
Air India,Kolkata,Banglore,16,7,1.0,No Info,8366,May,Wednesday,185
SpiceJet,Mumbai,Hyderabad,5,7,0.0,In-flight meal not included,1965,May,Thursday,90
SpiceJet,Kolkata,Banglore,17,19,0.0,No Info,3873,June,Thursday,150
Jet Airways,Banglore,New Delhi,8,20,1.0,No Info,8450,March,Friday,740
Multiple carriers,Delhi,Cochin,4,12,1.0,No Info,10678,June,Thursday,460
Air India,Banglore,New Delhi,8,23,1.0,No Info,6824,March,Thursday,145
Air India,Delhi,Cochin,5,19,2.0,No Info,9443,June,Wednesday,335
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,13378,March,Thursday,730
IndiGo,Banglore,Delhi,4,6,0.0,No Info,3943,May,Wednesday,170
IndiGo,Delhi,Cochin,11,21,1.0,No Info,7191,May,Saturday,575
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,3625,June,Thursday,160
GoAir,Delhi,Cochin,7,13,1.0,No Info,6841,May,Monday,370
Jet Airways,Kolkata,Banglore,16,23,1.0,In-flight meal not included,11134,March,Sunday,390
Jet Airways,Kolkata,Banglore,18,20,1.0,No Info,14571,June,Thursday,830
Air India,Banglore,New Delhi,5,12,1.0,No Info,12346,March,Friday,1105
Jet Airways,Banglore,Delhi,17,20,0.0,In-flight meal not included,4544,April,Sunday,180
Jet Airways,Delhi,Cochin,14,4,2.0,No Info,13376,June,Sunday,110
Jet Airways,Banglore,New Delhi,18,12,1.0,In-flight meal not included,11087,March,Tuesday,330
SpiceJet,Kolkata,Banglore,9,11,0.0,No Info,5515,March,Sunday,150
IndiGo,Kolkata,Banglore,4,7,0.0,No Info,4804,June,Thursday,155
IndiGo,Chennai,Kolkata,13,15,0.0,No Info,3597,June,Wednesday,140
Multiple carriers,Delhi,Cochin,6,19,1.0,No Info,15353,March,Wednesday,75
Jet Airways,Kolkata,Banglore,6,16,1.0,In-flight meal not included,9899,June,Wednesday,590
Jet Airways,Banglore,New Delhi,8,21,1.0,No Info,13817,March,Tuesday,745
Jet Airways,Delhi,Cochin,19,19,2.0,No Info,19329,March,Wednesday,755
Jet Airways,Delhi,Cochin,7,12,1.0,No Info,16289,June,Wednesday,330
Jet Airways,Kolkata,Banglore,18,10,1.0,In-flight meal not included,9663,May,Wednesday,190
Air India,Delhi,Cochin,9,9,2.0,No Info,10975,June,Monday,700
Air Asia,Kolkata,Banglore,10,12,0.0,No Info,4384,March,Monday,155
Jet Airways,Delhi,Cochin,9,19,1.0,No Info,14714,June,Wednesday,600
Jet Airways,Delhi,Cochin,14,4,2.0,In-flight meal not included,10919,June,Wednesday,110
Jet Airways,Kolkata,Banglore,14,4,1.0,No Info,14388,May,Tuesday,155
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,10877,June,Saturday,455
IndiGo,Delhi,Cochin,7,21,1.0,No Info,7191,May,Monday,90
GoAir,Kolkata,Banglore,23,7,1.0,No Info,6686,May,Wednesday,495
Multiple carriers,Delhi,Cochin,12,1,1.0,No Info,7530,June,Monday,760
IndiGo,Delhi,Cochin,7,22,1.0,No Info,6442,June,Saturday,175
Jet Airways,Delhi,Cochin,9,12,1.0,In-flight meal not included,10262,June,Thursday,935
Jet Airways,Banglore,New Delhi,18,9,1.0,No Info,13817,March,Tuesday,155
Jet Airways,Kolkata,Banglore,14,23,1.0,No Info,13626,June,Wednesday,570
Jet Airways,Kolkata,Banglore,18,10,1.0,No Info,14388,May,Sunday,190
IndiGo,Kolkata,Banglore,4,7,0.0,No Info,4804,April,Saturday,155
IndiGo,Delhi,Cochin,14,17,0.0,No Info,5406,March,Thursday,185
SpiceJet,Delhi,Cochin,17,22,1.0,No Info,4611,April,Wednesday,295
IndiGo,Kolkata,Banglore,8,13,1.0,No Info,5069,June,Sunday,290
GoAir,Banglore,Delhi,7,10,0.0,No Info,3898,June,Thursday,175
IndiGo,Mumbai,Hyderabad,12,13,0.0,No Info,2754,June,Thursday,90
Multiple carriers,Delhi,Cochin,15,1,1.0,In-flight meal not included,6943,May,Monday,630
Jet Airways,Kolkata,Banglore,5,18,1.0,No Info,14781,May,Saturday,750
Jet Airways,Delhi,Cochin,13,19,1.0,No Info,16079,May,Tuesday,360
IndiGo,Banglore,New Delhi,16,19,0.0,No Info,8033,March,Friday,170
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,6953,March,Wednesday,455
IndiGo,Banglore,Delhi,7,10,0.0,No Info,4823,May,Sunday,175
IndiGo,Kolkata,Banglore,4,7,0.0,No Info,4174,April,Tuesday,155
Jet Airways,Delhi,Cochin,13,19,2.0,No Info,12819,June,Thursday,1055
Jet Airways,Kolkata,Banglore,21,4,1.0,In-flight meal not included,9663,May,Wednesday,450
SpiceJet,Kolkata,Banglore,6,9,0.0,In-flight meal not included,3841,May,Friday,155
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5000,June,Thursday,195
Air India,Banglore,New Delhi,5,22,2.0,Change airports,13366,March,Friday,260
Vistara,Mumbai,Hyderabad,21,16,1.0,No Info,12395,March,Wednesday,410
Jet Airways,Delhi,Cochin,19,19,1.0,No Info,15554,May,Saturday,675
Jet Airways,Kolkata,Banglore,17,15,1.0,No Info,13067,May,Monday,605
IndiGo,Kolkata,Banglore,15,17,0.0,No Info,6565,March,Friday,155
SpiceJet,Mumbai,Hyderabad,5,7,0.0,In-flight meal not included,1965,May,Friday,90
SpiceJet,Chennai,Kolkata,9,12,0.0,In-flight meal not included,3332,March,Wednesday,155
IndiGo,Banglore,New Delhi,5,10,1.0,No Info,6208,March,Thursday,285
Air India,Banglore,New Delhi,13,18,1.0,No Info,11161,March,Monday,1010
Air India,Kolkata,Banglore,10,13,2.0,No Info,12224,June,Wednesday,945
Jet Airways,Kolkata,Banglore,18,12,1.0,In-flight meal not included,9663,May,Wednesday,305
Jet Airways,Banglore,New Delhi,8,15,1.0,No Info,12284,March,Monday,380
Air India,Delhi,Cochin,17,9,1.0,No Info,7480,May,Monday,245
Jet Airways,Delhi,Cochin,19,4,1.0,No Info,17024,March,Wednesday,550
Jet Airways,Kolkata,Banglore,20,19,1.0,No Info,14151,June,Thursday,645
IndiGo,Kolkata,Banglore,17,19,0.0,No Info,4804,June,Friday,155
IndiGo,Delhi,Cochin,16,21,1.0,No Info,6069,May,Saturday,300
Vistara,Banglore,New Delhi,6,21,1.0,No Info,6065,March,Thursday,195
Jet Airways,Kolkata,Banglore,20,9,1.0,No Info,14151,May,Saturday,80
Jet Airways,Kolkata,Banglore,18,12,1.0,No Info,14231,March,Sunday,305
Vistara,Mumbai,Hyderabad,15,9,1.0,No Info,12395,March,Wednesday,345
IndiGo,Delhi,Cochin,2,7,1.0,No Info,5636,April,Wednesday,325
Air India,Delhi,Cochin,17,23,1.0,No Info,5232,April,Saturday,320
Jet Airways,Delhi,Cochin,14,4,1.0,No Info,14714,June,Saturday,145
IndiGo,Chennai,Kolkata,7,10,0.0,No Info,3850,May,Monday,140
Air India,Delhi,Cochin,17,9,1.0,No Info,7258,May,Monday,235
Jet Airways,Banglore,New Delhi,21,20,1.0,No Info,17471,March,Wednesday,655
SpiceJet,Banglore,Delhi,21,0,0.0,No Info,4423,May,Thursday,175
IndiGo,Mumbai,Hyderabad,21,22,0.0,No Info,2227,June,Tuesday,90
Multiple carriers,Delhi,Cochin,10,1,1.0,No Info,13377,June,Monday,210
Jet Airways,Banglore,Delhi,8,11,0.0,No Info,8016,June,Wednesday,180
Air India,Banglore,New Delhi,6,8,1.0,No Info,5626,March,Saturday,840
IndiGo,Banglore,New Delhi,16,19,0.0,No Info,6860,March,Thursday,170
IndiGo,Delhi,Cochin,18,1,1.0,No Info,6628,June,Saturday,415
Jet Airways,Delhi,Cochin,13,12,1.0,In-flight meal not included,11627,June,Thursday,695
SpiceJet,Kolkata,Banglore,17,19,0.0,No Info,4174,June,Sunday,150
Jet Airways,Delhi,Cochin,18,4,1.0,No Info,14714,June,Saturday,610
Jet Airways,Kolkata,Banglore,9,21,1.0,No Info,14151,May,Sunday,690
Jet Airways,Delhi,Cochin,16,19,1.0,In-flight meal not included,12898,May,Monday,900
Jet Airways,Delhi,Cochin,21,4,1.0,In-flight meal not included,12373,May,Saturday,395
IndiGo,Banglore,Delhi,10,13,0.0,No Info,3943,June,Tuesday,170
Air Asia,Kolkata,Banglore,15,23,2.0,No Info,7870,June,Sunday,500
Jet Airways,Banglore,Delhi,18,22,0.0,No Info,8016,June,Tuesday,185
Air India,Delhi,Cochin,13,9,2.0,No Info,10975,May,Wednesday,500
IndiGo,Kolkata,Banglore,20,23,0.0,No Info,4804,June,Tuesday,165
Jet Airways,Delhi,Cochin,20,4,1.0,No Info,15554,March,Saturday,455
SpiceJet,Kolkata,Banglore,6,9,0.0,No Info,4465,March,Monday,160
Jet Airways,Kolkata,Banglore,21,10,1.0,In-flight meal not included,11841,June,Sunday,775
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,19332,March,Saturday,675
SpiceJet,Kolkata,Banglore,17,19,0.0,In-flight meal not included,3841,June,Friday,150
IndiGo,Banglore,Delhi,10,13,0.0,No Info,4591,April,Friday,170
IndiGo,Kolkata,Banglore,15,20,1.0,No Info,5192,May,Friday,290
Jet Airways,Delhi,Cochin,18,12,1.0,In-flight meal not included,10577,June,Sunday,380
Jet Airways,Delhi,Cochin,19,4,2.0,No Info,15129,May,Saturday,535
Multiple carriers,Delhi,Cochin,6,19,1.0,No Info,11789,June,Thursday,60
Air India,Delhi,Cochin,21,7,1.0,No Info,8372,June,Saturday,640
Multiple carriers,Delhi,Cochin,6,19,1.0,No Info,8266,May,Thursday,75
Jet Airways,Kolkata,Banglore,6,19,1.0,No Info,14781,May,Monday,80
Vistara,Banglore,Delhi,17,19,0.0,No Info,5613,April,Sunday,155
Jet Airways,Banglore,Delhi,15,18,0.0,No Info,7229,April,Wednesday,175
IndiGo,Delhi,Cochin,8,21,1.0,No Info,6093,June,Monday,750
Jet Airways,Delhi,Cochin,5,12,2.0,In-flight meal not included,15544,May,Tuesday,425
GoAir,Delhi,Cochin,7,13,1.0,No Info,6296,May,Saturday,370
IndiGo,Kolkata,Banglore,9,12,0.0,No Info,4804,April,Saturday,165
Air Asia,Banglore,New Delhi,5,8,0.0,No Info,4284,March,Monday,170
IndiGo,Delhi,Cochin,7,22,1.0,No Info,6558,March,Thursday,165
IndiGo,Delhi,Cochin,21,3,1.0,No Info,5775,June,Monday,345
SpiceJet,Chennai,Kolkata,8,10,0.0,In-flight meal not included,3543,June,Friday,135
Jet Airways,Delhi,Cochin,9,18,1.0,No Info,17024,March,Wednesday,535
Jet Airways,Mumbai,Hyderabad,7,8,0.0,In-flight meal not included,4050,June,Sunday,85
Air India,Mumbai,Hyderabad,6,15,2.0,No Info,14219,March,Wednesday,335
Jet Airways,Banglore,New Delhi,11,18,1.0,No Info,8450,March,Friday,405
Air India,Delhi,Cochin,19,19,2.0,No Info,9653,June,Saturday,690
IndiGo,Banglore,Delhi,6,8,0.0,No Info,3943,June,Friday,165
Jet Airways,Kolkata,Banglore,14,16,1.0,In-flight meal not included,10844,May,Saturday,855
Jet Airways,Kolkata,Banglore,21,4,1.0,In-flight meal not included,8849,April,Monday,450
IndiGo,Mumbai,Hyderabad,1,3,0.0,No Info,2754,June,Wednesday,90
Air India,Delhi,Cochin,6,19,2.0,No Info,10756,March,Thursday,335
Jet Airways,Kolkata,Banglore,17,21,1.0,No Info,14151,May,Tuesday,965
Jet Airways,Kolkata,Banglore,8,20,1.0,In-flight meal not included,9899,June,Wednesday,740
Jet Airways,Delhi,Cochin,22,4,1.0,No Info,12242,March,Thursday,385
Jet Airways,Delhi,Cochin,19,12,2.0,In-flight meal not included,10368,June,Sunday,305
IndiGo,Mumbai,Hyderabad,9,10,0.0,No Info,5755,May,Friday,90
Jet Airways,Delhi,Cochin,18,4,1.0,In-flight meal not included,10262,June,Saturday,610
SpiceJet,Kolkata,Banglore,8,17,1.0,No Info,6643,June,Thursday,520
Multiple carriers,Delhi,Cochin,7,21,1.0,No Info,9845,March,Thursday,90
Jet Airways,Kolkata,Banglore,18,12,1.0,In-flight meal not included,11134,March,Sunday,305
SpiceJet,Delhi,Cochin,6,11,1.0,No Info,5583,June,Saturday,315
IndiGo,Delhi,Cochin,16,21,1.0,No Info,6069,May,Wednesday,300
Jet Airways,Banglore,New Delhi,5,20,1.0,No Info,13817,March,Tuesday,155
Air India,Delhi,Cochin,5,19,2.0,No Info,10283,March,Wednesday,335
Air India,Kolkata,Banglore,9,21,1.0,No Info,7795,March,Sunday,675
Multiple carriers,Delhi,Cochin,0,7,1.0,In-flight meal not included,13977,March,Saturday,440
IndiGo,Kolkata,Banglore,20,23,0.0,No Info,6038,March,Sunday,160
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5601,May,Tuesday,195
IndiGo,Delhi,Cochin,7,21,1.0,No Info,12351,March,Saturday,90
Air India,Delhi,Cochin,5,8,0.0,No Info,6094,April,Monday,170
Multiple carriers,Delhi,Cochin,10,19,1.0,No Info,7575,May,Wednesday,520
Jet Airways,Delhi,Cochin,21,4,1.0,No Info,16079,May,Monday,395
Air Asia,Delhi,Cochin,16,22,1.0,No Info,13470,June,Sunday,340
Jet Airways,Banglore,Delhi,11,14,0.0,No Info,8016,June,Thursday,175
Jet Airways,Delhi,Cochin,18,18,1.0,No Info,16289,March,Saturday,755
Jet Airways,Delhi,Cochin,19,4,1.0,In-flight meal not included,10262,June,Thursday,520
IndiGo,Banglore,Delhi,18,21,0.0,No Info,4823,June,Thursday,175
Vistara,Banglore,Delhi,9,12,0.0,No Info,5403,April,Tuesday,170
Jet Airways,Delhi,Cochin,17,19,1.0,In-flight meal not included,12373,May,Saturday,810
SpiceJet,Mumbai,Hyderabad,14,22,1.0,No Info,13552,March,Wednesday,495
Jet Airways,Kolkata,Banglore,8,20,1.0,In-flight meal not included,10844,May,Thursday,740
Air India,Mumbai,Hyderabad,9,23,2.0,No Info,22619,March,Wednesday,125
Multiple carriers,Delhi,Cochin,10,19,1.0,No Info,8625,May,Monday,520
IndiGo,Banglore,New Delhi,6,8,0.0,No Info,4777,March,Sunday,165
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5000,June,Friday,195
Jet Airways,Delhi,Cochin,19,19,2.0,No Info,21954,March,Wednesday,755
Jet Airways,Delhi,Cochin,11,4,1.0,In-flight meal not included,11627,June,Monday,295
Jet Airways,Kolkata,Banglore,14,4,1.0,No Info,13731,May,Friday,155
IndiGo,Banglore,Delhi,22,1,0.0,No Info,3943,April,Wednesday,170
Jet Airways,Banglore,New Delhi,8,23,1.0,In-flight meal not included,6992,March,Thursday,125
Jet Airways,Kolkata,Banglore,18,4,1.0,No Info,13941,May,Monday,585
Jet Airways,Delhi,Cochin,8,19,1.0,No Info,14924,June,Wednesday,660
Jet Airways,Delhi,Cochin,2,12,1.0,No Info,18371,June,Thursday,620
IndiGo,Chennai,Kolkata,19,21,0.0,No Info,7295,March,Sunday,140
Air India,Banglore,New Delhi,17,16,1.0,No Info,9292,March,Saturday,700
Jet Airways,Kolkata,Banglore,20,8,1.0,No Info,13941,May,Wednesday,735
IndiGo,Kolkata,Banglore,4,9,1.0,No Info,4150,March,Sunday,335
Jet Airways,Kolkata,Banglore,20,23,1.0,No Info,12681,April,Monday,935
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5601,June,Monday,195
Air India,Kolkata,Banglore,9,8,2.0,No Info,14960,May,Tuesday,665
Multiple carriers,Delhi,Cochin,16,1,1.0,No Info,13377,June,Thursday,570
IndiGo,Mumbai,Hyderabad,12,13,0.0,No Info,3342,March,Thursday,85
Jet Airways,Banglore,New Delhi,5,23,1.0,No Info,16736,March,Wednesday,315
Jet Airways,Kolkata,Banglore,21,19,1.0,In-flight meal not included,10031,March,Sunday,630
Air India,Delhi,Cochin,20,8,1.0,No Info,7258,April,Sunday,705
Jet Airways,Banglore,Delhi,6,8,0.0,In-flight meal not included,4030,May,Wednesday,165
Air India,Delhi,Cochin,14,19,2.0,No Info,13381,June,Monday,1010
Jet Airways,Delhi,Cochin,23,4,2.0,No Info,16704,May,Friday,1040
Multiple carriers,Delhi,Cochin,9,21,1.0,No Info,13587,June,Monday,720
Jet Airways,Mumbai,Hyderabad,2,4,0.0,No Info,5678,May,Friday,85
Jet Airways,Kolkata,Banglore,6,9,1.0,In-flight meal not included,7064,April,Monday,890
IndiGo,Mumbai,Hyderabad,1,3,0.0,No Info,2754,June,Monday,90
Vistara,Banglore,Delhi,9,12,0.0,No Info,4668,May,Wednesday,170
Air Asia,Kolkata,Banglore,19,22,0.0,No Info,4107,June,Friday,150
IndiGo,Delhi,Cochin,4,21,1.0,No Info,5894,June,Wednesday,245
Jet Airways,Delhi,Cochin,17,4,1.0,In-flight meal not included,10262,June,Thursday,655
Jet Airways,Kolkata,Banglore,16,8,1.0,No Info,13941,May,Thursday,225
Air Asia,Delhi,Cochin,16,7,1.0,No Info,6451,April,Saturday,145
Air India,Delhi,Cochin,9,9,2.0,No Info,10975,June,Thursday,700
Air India,Delhi,Cochin,12,7,2.0,No Info,14746,March,Wednesday,460
Air Asia,Delhi,Cochin,20,7,1.0,No Info,11410,June,Thursday,625
SpiceJet,Kolkata,Banglore,6,9,0.0,In-flight meal not included,3841,May,Wednesday,155
Air India,Delhi,Cochin,6,7,2.0,No Info,13381,June,Monday,770
Multiple carriers,Delhi,Cochin,11,1,1.0,No Info,15078,May,Thursday,120
Air India,Kolkata,Banglore,9,18,1.0,No Info,8891,May,Thursday,545
Jet Airways,Kolkata,Banglore,14,10,1.0,In-flight meal not included,7757,May,Thursday,480
Air India,Banglore,Delhi,5,8,0.0,No Info,4441,April,Tuesday,180
Jet Airways,Kolkata,Banglore,19,18,1.0,In-flight meal not included,10031,March,Sunday,625
IndiGo,Banglore,Delhi,13,15,0.0,No Info,4823,April,Friday,170
Air India,Kolkata,Banglore,9,18,1.0,No Info,8576,May,Friday,545
